管线类别		管线表内容	数据表格名称	说  明	table_name			a
		附属设施（面）	T81070303		GY_YQ_A	102	T81070303	0
	原油	管段	T81070401		GY_YY_L	103	T81070401	0
		管点	T81070402		GY_YY_P	104	T81070402	0
		附属设施（面）	T81070403		GY_YY_A	105	T81070403	0
	成品油	管段	T81070501		GY_CPY_L	106	T81070501	0
		管点	T81070502		GY_CPY_P	107	T81070502	0
		附属设施（面）	T81070503		GY_CPY_A	108	T81070503	0
	航油	管段	T81070601		GY_HY_L	109	T81070601	0
		管点	T81070602		GY_HY_P	110	T81070602	0
		附属设施（面）	T81070603		GY_HY_A	111	T81070603	0
	排渣	管段	T81070701		GY_PZ_L	112	T81070701	0
		管点	T81070702		GY_PZ_P	113	T81070702	0
		附属设施（面）	T81070703		GY_PZ_A	114	T81070703	0
	乙烯	管段	T81070801		GY_YX_L	115	T81070801	0
		管点	T81070802		GY_YX_P	116	T81070802	0
		附属设施（面）	T81070803		GY_YX_A	117	T81070803	0
	其他	管段	T81079901		GY_QT_L	118	T81079901	0
		管点	T81079902		GY_QT_P	119	T81079902	0
		附属设施（面）	T81079903		GY_QT_A	120	T81079903	0
其 它	综合管沟	管段	T81080101		QT_ZHGG_L	121	T81080101	0
（QT）		管点	T81080102		QT_ZHGG_P	122	T81080102	0
		附属设施（面）	T81080103		QT_ZHGG_A	123	T81080103	0
	特殊管线	管段	T81080201		QT_TSGX_L	124	T81080201	0
		管点	T81080202		QT_TSGX_P	125	T81080202	0
		附属设施（面）	T81080203		QT_TSGX_A	126	T81080203	0
	权属不明管线	管段	T81080301		QT_QSBMGX_L	127	T81080301	25
		管点	T81080302		QT_QSBMGX_P	128	T81080302	36
		附属设施（面）	T81080303		QT_QSBMGX_A	129	T81080303	0
长输管线	输电	管段	T81090101		CSGX_SD_L	130	T81090101	0
（CSGX）		管点	T81090102		CSGX_SD_P	131	T81090102	0
		附属设施（面）	T81090103		CSGX_SD_A	132	T81090103	0
	通信	管段	T81090201		CSGX_TX_L	133	T81090201	92
		管点	T81090202		CSGX_TX_P	134	T81090202	93
		附属设施（面）	T81090203		CSGX_TX_A	135	T81090203	0
	输水	管段	T81090301		CSGX_SS_L	136	T81090301	0
		管点	T81090302		CSGX_SS_P	137	T81090302	0
		附属设施（面）	T81090303		CSGX_SS_A	138	T81090303	0
	输气	管段	T81090401		CSGX_SQ_L	139	T81090401	0
		管点	T81090402		CSGX_SQ_P	140	T81090402	0
		附属设施（面）	T81090403		CSGX_SQ_A	141	T81090403	0
	输油	管段	T81090501		CSGX_SY_L	142	T81090501	0
		管点	T81090502		CSGX_SY_P	143	T81090502	0
		附属设施（面）	T81090503		CSGX_SY_A	144	T81090503	0
	其它长输管线	管段	T81099901		CSGX_QTCSGX_L	145	T81099901	0
		管点	T81099902		CSGX_QTCSGX_P	146	T81099902	0
		附属设施（面）	T81099903		CSGX_QTCSGX_A	147	T81099903	0
						148	图幅信息表	441
